anio,MeetCountry,n_mujeres_pais_anio,n_hombres_pais_anio,n_total_pais_anio,pct_participacion_femenina
1964,Japan,0,18,18,0.0
1964,USA,0,21,21,0.0
1965,USA,0,45,45,0.0
1966,Germany,0,9,9,0.0
1966,UK,0,21,21,0.0
1966,USA,0,41,41,0.0
1967,England,0,22,22,0.0
1967,UK,0,28,28,0.0
1967,USA,0,44,44,0.0
1968,Australia,0,25,25,0.0
1968,Israel,0,28,28,0.0
1968,UK,0,17,17,0.0
1968,USA,0,38,38,0.0
1969,UK,0,16,16,0.0
1969,USA,0,41,41,0.0
1970,UK,0,30,30,0.0
1970,USA,0,64,64,0.0
1971,Finland,0,22,22,0.0
1971,Iceland,0,18,18,0.0
1971,UK,0,23,23,0.0
1971,USA,0,88,88,0.0
1972,England,0,6,6,0.0
1972,Finland,0,60,60,0.0
1972,Germany,0,46,46,0.0
1972,Iceland,0,21,21,0.0
1972,UK,0,21,21,0.0
1972,USA,0,103,103,0.0
1973,Iceland,0,19,19,0.0
1973,UK,0,22,22,0.0
1973,USA,0,126,126,0.0
1974,Finland,0,53,53,0.0
1974,Iceland,0,3,3,0.0
1974,Norway,0,314,314,0.0
1974,UK,0,23,23,0.0
1974,USA,0,132,132,0.0
1975,England,0,82,82,0.0
1975,Finland,0,144,144,0.0
1975,Iceland,0,13,13,0.0
1975,Norway,0,167,167,0.0
1975,Puerto Rico,0,33,33,0.0
1975,UK,0,30,30,0.0
1975,USA,8,68,76,10.53
1976,Canada,0,43,43,0.0
1976,England,0,200,200,0.0
1976,Finland,0,166,166,0.0
1976,Iceland,0,7,7,0.0
1976,New Zealand,0,54,54,0.0
1976,Norway,0,59,59,0.0
1976,Scotland,0,47,47,0.0
1976,Sweden,0,11,11,0.0
1976,UK,0,90,90,0.0
1976,USA,0,130,130,0.0
1976,Venezuela,0,25,25,0.0
1977,Australia,43,494,537,8.01
1977,East Germany,0,4,4,0.0
1977,Finland,0,128,128,0.0
1977,Iceland,0,12,12,0.0
1977,New Zealand,0,18,18,0.0
1977,Norway,1,93,94,1.06
1977,Papua New Guinea,0,5,5,0.0
1977,Sweden,0,31,31,0.0
1977,UK,0,48,48,0.0
1977,USA,27,242,269,10.04
1978,England,0,64,64,0.0
1978,Finland,0,312,312,0.0
1978,Iceland,0,50,50,0.0
1978,Norway,9,78,87,10.34
1978,UK,0,30,30,0.0
1978,USA,76,151,227,33.48
1979,Canada,0,140,140,0.0
1979,Finland,0,191,191,0.0
1979,Germany,3,27,30,10.0
1979,Iceland,0,124,124,0.0
1979,Italy,11,44,55,20.0
1979,Norway,4,52,56,7.14
1979,Sweden,0,79,79,0.0
1979,UK,0,52,52,0.0
1979,USA,54,2420,2474,2.18
1980,Australia,24,49,73,32.88
1980,Canada,30,268,298,10.07
1980,England,0,28,28,0.0
1980,Finland,0,282,282,0.0
1980,Germany,19,144,163,11.66
1980,Iceland,0,46,46,0.0
1980,Italy,12,81,93,12.9
1980,Japan,26,103,129,20.16
1980,Netherlands,0,90,90,0.0
1980,Norway,11,110,121,9.09
1980,South Africa,0,34,34,0.0
1980,Sweden,0,82,82,0.0
1980,Switzerland,0,78,78,0.0
1980,UK,0,36,36,0.0
1980,USA,933,17590,18523,5.04
1981,Argentina,0,23,23,0.0
1981,Australia,18,97,115,15.65
1981,Canada,24,243,267,8.99
1981,Colombia,0,47,47,0.0
1981,Czechia,0,53,53,0.0
1981,England,34,93,127,26.77
1981,Finland,0,282,282,0.0
1981,Germany,4,44,48,8.33
1981,Iceland,0,104,104,0.0
1981,India,0,101,101,0.0
1981,Italy,21,225,246,8.54
1981,Japan,17,80,97,17.53
1981,New Zealand,0,68,68,0.0
1981,Norway,32,370,402,7.96
