anio,Equipment,n_hombres,total_medio_m,total_p50_m,peso_medio_m,dots_medio_m,fuerza_rel_media_m,fuerza_rel_p50_m
1964,Wraps,21,563.211,580.6,81.9829,397.921,7.1133,7.1819
1965,Raw,3,435.5233,389.41,55.71,391.2233,7.8085,7.0394
1965,Wraps,35,572.706,566.99,79.1183,404.7703,7.3166,7.3949
1966,Raw,7,504.6429,510.0,85.1429,344.0514,6.089,5.6667
1966,Wraps,47,566.6864,564.72,75.3496,410.4764,7.5558,7.5417
1967,Raw,2,545.985,545.985,61.75,452.825,8.8721,8.8721
1967,Wraps,80,553.8564,540.0,74.9441,402.7122,7.4205,7.5563
1968,Raw,2,572.665,572.665,67.5,445.735,8.5541,8.5541
1968,Wraps,65,590.2492,590.0,80.5322,412.884,7.4159,7.7679
1969,Raw,2,571.265,571.265,69.25,442.2,8.3799,8.3799
1969,Wraps,49,596.4541,585.13,76.6484,432.5643,7.9053,7.9631
1970,Raw,5,666.166,534.11,79.486,486.93,8.6879,8.92
1970,Wraps,76,613.2605,613.75,78.1143,438.6064,7.945,7.9708
1971,Raw,4,705.1025,679.255,88.5275,489.5325,8.3737,8.4726
1971,Wraps,117,590.1997,572.5,78.755,418.7215,7.5832,7.6973
1972,Raw,4,557.465,545.675,61.425,466.6925,9.1386,9.1793
1972,Wraps,176,572.802,571.25,77.6886,408.6209,7.4123,7.5022
1973,Raw,49,671.0202,680.39,84.7094,459.362,8.0593,8.2025
1973,Wraps,94,559.24,578.03,77.2255,399.4632,7.2719,7.6836
1974,Raw,35,555.9714,553.38,81.8171,384.6834,6.8335,6.625
1974,Wraps,441,512.9732,497.5,76.9984,366.2339,6.683,6.4846
1975,Wraps,481,537.4272,522.5,78.01,383.6238,6.9507,6.9583
1976,Raw,32,561.07,582.5,80.9859,395.9272,7.1291,7.1536
1976,Wraps,702,499.1826,480.405,76.4933,358.8792,6.5489,6.544
1977,Raw,4,456.25,540.0,56.225,410.4775,8.1936,9.7303
1977,Single-ply,425,572.5111,565.0,79.3555,404.8033,7.2892,7.4
1977,Wraps,541,474.2923,480.81,75.3713,343.2573,6.276,6.3333
1978,Raw,2,567.5,567.5,57.5,498.305,9.9053,9.9053
1978,Single-ply,598,603.2843,592.5,81.2481,419.5548,7.4899,7.5556
1978,Wraps,2,506.25,506.25,52.7,480.085,9.6312,9.6312
1979,Raw,5,475.7,448.5,82.58,375.326,6.9342,5.8654
1979,Single-ply,2272,545.3028,537.51,81.4904,378.5572,6.7495,6.6937
1979,Wraps,1,565.0,565.0,51.9,542.14,10.8863,10.8863
1980,Raw,4,564.655,563.405,72.9,438.615,8.266,8.2248
1980,Single-ply,14926,521.5225,519.36,82.1326,359.8764,6.3951,6.373
1980,Wraps,33,552.3485,550.0,73.807,404.393,7.5047,7.4285
1981,Raw,11,351.1064,342.46,94.6818,226.7882,3.7412,3.62
1981,Single-ply,15489,534.8594,530.7,83.0066,366.8643,6.4908,6.4773
1982,Raw,11,435.4327,395.0,99.1964,278.2191,4.5755,4.0823
1982,Single-ply,16759,550.9656,547.5,83.7987,376.0736,6.6308,6.6252
1983,Raw,14,413.6093,411.25,91.6786,274.1421,4.7189,4.245
1983,Single-ply,18920,553.0864,550.0,84.0202,376.7825,6.6354,6.627
1983,Wraps,16,242.5475,183.705,61.9688,197.3688,3.7186,3.4019
1984,Raw,12,313.0533,331.12,97.4083,198.7925,3.3015,2.952
1984,Single-ply,19075,556.0834,555.74,84.8881,376.9277,6.611,6.6136
1985,Raw,3,498.0,502.5,106.0667,324.24,5.2708,4.14
1985,Single-ply,17968,560.1698,560.19,85.5545,378.4479,6.6194,6.6389
