variable,importancia_kg,desviacion,etiqueta,pct_del_total
total_anterior,46.02073576723184,0.3658840510544078,Total en la competición anterior,66.8
mejor_total_previo,10.521846345297224,0.06467649613423597,Mejor total previo,15.3
peso_corporal_kg,2.752962054028097,0.05459654044835933,Peso corporal,4.0
edad,2.3314768458089516,0.027624773551576647,Edad,3.4
equipamiento,2.0104774589413204,0.05692347517137246,Equipamiento,2.9
dias_desde_anterior,1.9479385974258085,0.055261406129624616,Días desde la anterior,2.8
n_competicion,1.6218909626895779,0.03197706021235775,Nº de competición,2.4
total_competiciones_atleta,0.7320389811914773,0.019370942439040313,Competiciones totales de la atleta,1.1
anios_trayectoria,0.4770544552805937,0.009972798834192786,Años de trayectoria,0.7
control_antidoping,0.16629258050295093,0.014073958463384372,Control antidopaje declarado,0.2
ambito_federacion,0.12217175834055424,0.01343427775277613,Ámbito federativo,0.2
iso3,0.11281818593617636,0.013840463813840676,País,0.2
tasa_actividad_femenina,0.011919289404383093,0.001973901326967989,Actividad laboral femenina,0.0
idh,0.01146898400188796,0.0015381506812972505,IDH del país,0.0
pib_per_capita_ppa,0.0043320630605894195,0.0074163977997036175,PIB per cápita del país,0.0
indice_desigualdad_gen,0.004026820861571423,0.0014837493869227045,Desigualdad de género,0.0
esperanza_vida_femenina,0.0012380804298523173,0.0038496901538126204,Esperanza de vida femenina,0.0
region,0.0009684939247392776,0.0004616351371270773,Región,0.0
anio,0.0,0.0,Año,0.0
tipo_equipamiento,-0.01407368549942376,0.0032913725374239013,Modalidad (con/sin equipo),-0.0
