anio,participaciones,atletas_unicas,variacion_atletas,variacion_pct,total_medio_kg,fuerza_relativa_media,edad_media
2025,80953,42411,-75,-0.2,310.2,4.515,30.6
2024,84475,42486,2083,5.2,311.1,4.524,29.5
2023,79871,40403,7119,21.4,308.3,4.5,29.0
2022,67405,33284,8897,36.5,306.4,4.467,29.6
2021,44570,24387,5140,26.7,306.7,4.491,30.0
2020,36814,19247,-12274,-38.9,295.3,4.367,29.4
2019,60644,31521,2629,9.1,302.7,4.487,29.7
2018,56616,28892,2287,8.6,299.1,4.47,29.1
2017,51949,26605,3586,15.6,296.3,4.456,28.6
2016,46098,23019,4481,24.2,290.7,4.416,28.3
2015,38748,18538,4623,33.2,285.7,4.371,27.5
2014,29878,13915,7975,134.3,279.2,4.331,27.2
2013,9673,5940,1960,49.2,300.0,4.726,28.7
2012,6541,3980,597,17.6,307.5,4.841,28.2
2011,5519,3383,629,22.8,317.5,4.985,28.1
2010,4383,2754,380,16.0,325.3,5.131,27.7
2009,3733,2374,134,6.0,328.0,5.162,28.7
2008,3706,2240,2,0.1,336.3,5.33,27.9
2007,3664,2238,132,6.3,340.6,5.436,26.5
2006,3287,2106,-119,-5.3,338.8,5.381,26.9
