puesto_volumen,puesto_nivel,pais,region,atletas,participaciones,total_medio,dots_medio,cuota_femenina,pib_medio
1,53,USA,America del Norte,121199,479880,294.4,303.0,38.4,71334.0
2,50,Russia,Europa,9698,25120,281.0,314.3,21.9,36500.0
3,39,UK,Europa,8765,29073,320.6,328.4,34.8,52956.0
4,41,Canada,America del Norte,7689,22049,320.9,327.1,36.5,57223.0
5,29,Australia,Oceania,7151,22088,336.7,339.7,38.3,58973.0
6,20,France,Europa,3215,9183,316.8,343.8,27.1,53834.0
7,42,India,Asia,2939,5181,303.4,326.7,33.5,8459.0
8,16,Germany,Europa,2320,6576,339.1,350.8,23.5,62544.0
9,27,Poland,Europa,2304,5706,320.0,340.4,23.1,42247.0
10,12,Spain,Europa,2170,4752,330.6,356.9,28.3,47303.0
11,6,Italy,Europa,2111,5017,337.5,370.8,29.4,51633.0
12,10,Sweden,Europa,2098,5708,353.8,363.7,35.2,61454.0
13,48,Ukraine,Europa,2034,4313,288.8,321.1,21.9,16503.0
14,43,New Zealand,Oceania,1959,5864,329.0,325.8,38.5,47588.0
15,19,Argentina,America Latina y Caribe,1877,3711,323.9,345.0,28.6,27024.0
16,25,Finland,Europa,1834,6036,332.6,341.1,31.5,55646.0
17,8,Czechia,Europa,1763,4293,346.7,366.9,25.2,46640.0
18,37,Ireland,Europa,1751,5030,321.6,329.9,36.8,105931.0
19,43,China,Asia,1651,2295,294.8,325.8,19.6,23099.0
20,22,South Africa,Africa,1520,2961,332.1,342.6,35.1,13849.0
21,26,Norway,Europa,1404,6824,335.2,341.0,34.9,91851.0
22,7,Lithuania,Europa,1281,2267,345.8,367.1,32.8,44832.0
23,28,Mexico,America del Norte,1278,1863,318.6,340.1,28.8,21799.0
24,32,Hungary,Europa,1185,2489,324.2,337.0,27.9,38468.0
25,18,Netherlands,Europa,1161,3560,335.7,345.3,32.2,69318.0
