cohorte,atletas_debutantes,pct_2_o_mas,pct_5_o_mas,pct_sigue_1_anio,pct_sigue_3_anios,competiciones_medias
2010,1421,54.8,23.6,47.2,28.0,4.21
2011,1862,55.9,24.4,48.1,27.1,4.1
2012,2231,57.5,26.8,48.2,28.0,4.41
2013,3714,61.9,30.2,53.5,28.4,4.57
2014,10485,70.2,36.1,48.9,21.2,5.15
2015,11730,64.7,29.2,48.3,21.5,4.32
2016,13853,63.3,27.9,47.7,20.8,4.15
2017,15217,62.6,27.0,47.5,18.6,3.95
2018,15479,62.9,25.6,47.6,20.2,3.84
2019,16292,57.6,22.4,39.1,20.4,3.48
2020,9332,62.6,28.3,44.4,20.0,4.1
2021,12357,64.6,28.2,49.7,22.3,3.93
2022,18199,67.5,30.4,50.9,19.9,4.01
