nombre_atleta,pais,competiciones,primera_marca_kg,ultima_marca_kg,mejora_kg,mejora_pct,anios
Alina Nikolaenko,RUS,47,112.5,517.5,405.0,360.0,13.0
Iris Tyberg,USA,17,106.5,487.5,381.0,357.7,7.0
Mackenzie Taylor,USA,60,100.0,452.5,352.5,352.5,9.8
Arianna Sanchez,USA,16,113.4,512.56,399.2,352.0,6.2
Alexandra Cazacu,ROU,24,115.0,465.0,350.0,304.3,10.1
Karina Nikolaenko,RUS,20,105.0,420.0,315.0,300.0,6.3
Victoria Medina,USA,29,140.0,532.97,393.0,280.7,6.6
Yana Petrenko,UKR,32,145.0,545.0,400.0,275.9,10.9
Shelby Gaspard,USA,8,100.0,362.5,262.5,262.5,9.4
Isabella Martin,USA,27,105.0,369.68,264.7,252.1,8.4
Yuliya Chernova,RUS,18,117.5,412.5,295.0,251.1,10.5
Svetlana Kovalyova,RUS,10,102.5,357.5,255.0,248.8,6.1
Madison Berry,USA,46,117.5,407.5,290.0,246.8,5.5
Brenda Garcia,USA,19,127.01,430.91,303.9,239.3,6.2
Ekaterina Kotova,RUS,39,125.0,422.5,297.5,238.0,11.0
Leila Gomez,USA,22,132.5,446.79,314.3,237.2,6.0
DeAnna Wood,USA,26,110.0,370.0,260.0,236.4,5.0
Melissa Smith #1,USA,44,145.15,487.61,342.5,235.9,10.6
Yuliya Zaytseva,RUS,10,137.5,455.0,317.5,230.9,9.9
Mya Garcia,USA,11,122.47,403.7,281.2,229.6,2.2
