iso3,anio,competidoras_pais_anio,nombre_atleta,total_kg,puntos_dots,percentil_en_su_pais,cuartil
USA,2026,44872,Jenna Odziana,712.14,780.9,1.0,4
USA,2026,44872,Rebecca Roberts #1,759.77,726.04,1.0,4
USA,2026,44872,Lisa McDonald,632.49,705.77,1.0,4
USA,2026,44872,Robyn Schmidt,619.15,691.48,0.9999,4
USA,2026,44872,Lisa MacDonald,612.35,683.3,0.9999,4
USA,2026,44872,Julene Hurley,627.5,674.3,0.9999,4
USA,2026,44872,Julene Hurley,630.0,668.64,0.9999,4
USA,2026,44872,Lyndsay Bramble,634.98,662.07,0.9998,4
USA,2026,44872,Kimberly Johnson #1,575.0,660.75,0.9998,4
USA,2026,44872,Lily Starobin,694.0,658.56,0.9998,4
USA,2026,44872,Samantha Rice,720.0,656.66,0.9998,4
USA,2026,44872,Julene Hurley,616.89,656.62,0.9998,4
CZE,2026,311,Blanka Bartoňková,568.0,655.22,1.0,4
USA,2026,44872,Brittany Bowles,581.0,646.11,0.9997,4
USA,2026,44872,Kelsey McCarthy,625.0,641.32,0.9997,4
USA,2026,44872,Gillian Tedeschi,522.5,640.92,0.9997,4
RUS,2026,495,Marianna Gasparyan,568.5,640.45,1.0,4
GBR,2026,2413,Alba Boström,582.5,627.09,1.0,4
USA,2026,44872,Jocelyne Nevarez,535.24,625.32,0.9997,4
USA,2026,44872,Heidi Dewig,560.19,621.26,0.9996,4
