grupo_renta,grupo_desigualdad,paises,mujeres,hombres,cuota_femenina_media,gii_medio,pib_medio
Renta alta,Baja desigualdad,5,233523,387556,35.8,0.139,62447.0
Renta alta,Desigualdad media,2,113590,211445,35.66,0.217,65684.0
Renta baja,,1,58,108,34.94,,11185.0
Renta media-alta,Alta desigualdad,2,125,252,32.25,0.404,35492.0
Renta alta,Muy baja desigualdad,20,69668,159537,29.44,0.051,71139.0
Renta media-baja,Alta desigualdad,9,4400,10997,28.12,0.396,17641.0
Renta baja,Alta desigualdad,10,5435,12021,27.34,0.429,10172.0
Renta media-alta,Desigualdad media,4,11488,40614,26.36,0.239,36259.0
Renta alta,,1,239,650,26.0,,64522.0
Renta media-alta,Muy baja desigualdad,13,13595,38269,24.38,0.079,45040.0
Renta media-baja,Desigualdad media,15,12617,46824,22.78,0.262,26136.0
Renta media-alta,Baja desigualdad,13,64993,224777,22.76,0.139,39968.0
Renta media-baja,Baja desigualdad,10,8118,29256,21.31,0.152,24781.0
Renta media-baja,Muy baja desigualdad,2,222,1137,18.36,0.097,28360.0
Renta baja,Desigualdad media,3,155,673,17.63,0.279,8883.0
